Session,Cell,NumSignificant,SignificantEvents
session_2024_04_23_1_MAT008,cell423,2,"stimulusOnsetTime,rewardTime"
session_2024_04_23_1_MAT008,cell424,1,"rewardTime"
session_2024_04_23_1_MAT008,cell425,0,""
session_2024_04_23_1_MAT008,cell426,1,"rewardTime"
session_2024_04_23_1_MAT008,cell427,1,"rewardTime"
session_2024_04_23_1_MAT008,cell428,1,"stimulusOnsetTime"
session_2024_04_23_1_MAT008,cell429,0,""
session_2024_04_23_1_MAT008,cell430,1,"rewardTime"
session_2024_04_23_1_MAT008,cell431,1,"stimulusOnsetTime"
session_2024_04_23_1_MAT008,cell432,0,""
session_2024_04_23_1_MAT008,cell433,0,""
session_2024_04_23_1_MAT008,cell434,0,""
session_2024_04_23_1_MAT008,cell435,0,""
session_2024_04_23_1_MAT008,cell436,1,"stimulusOnsetTime"
session_2024_04_23_1_MAT008,cell437,0,""
session_2024_04_23_1_MAT008,cell438,2,"stimulusOnsetTime,rewardTime"
session_2024_04_23_1_MAT008,cell439,1,"stimulusOnsetTime"
session_2024_04_23_1_MAT008,cell440,0,""
session_2024_04_23_1_MAT008,cell441,1,"stimulusOnsetTime"
session_2024_04_23_1_MAT008,cell442,2,"stimulusOnsetTime,rewardTime"
session_2024_04_23_1_MAT008,cell443,0,""
session_2024_04_23_1_MAT008,cell444,0,""
session_2024_04_23_1_MAT008,cell445,1,"rewardTime"
session_2024_04_23_1_MAT008,cell446,0,""
session_2024_04_23_1_MAT008,cell447,1,"rewardTime"
session_2024_04_23_1_MAT008,cell448,0,""
session_2024_04_23_1_MAT008,cell449,1,"rewardTime"
session_2024_04_23_1_MAT008,cell450,0,""
session_2024_04_23_1_MAT008,cell451,1,"stimulusOnsetTime"
session_2024_04_23_1_MAT008,cell452,1,"stimulusOnsetTime"
session_2024_04_23_1_MAT008,cell453,0,""
session_2024_04_23_1_MAT008,cell454,0,""
session_2024_04_23_1_MAT008,cell455,1,"stimulusOnsetTime"
session_2024_04_23_1_MAT008,cell456,1,"rewardTime"
session_2024_04_23_1_MAT008,cell457,1,"stimulusOnsetTime"
session_2024_04_23_1_MAT008,cell458,0,""
session_2024_04_23_1_MAT008,cell459,0,""
session_2024_04_23_1_MAT008,cell460,0,""
session_2024_04_23_1_MAT008,cell461,0,""
session_2024_04_23_1_MAT008,cell462,0,""
session_2024_04_23_1_MAT008,cell463,1,"rewardTime"
session_2024_04_23_1_MAT008,cell464,0,""
session_2024_04_23_1_MAT008,cell465,0,""
session_2024_04_23_1_MAT008,cell466,1,"rewardTime"
session_2024_04_23_1_MAT008,cell467,1,"rewardTime"
session_2024_04_23_1_MAT008,cell468,1,"stimulusOnsetTime"
session_2024_04_23_1_MAT008,cell469,0,""
session_2024_04_23_1_MAT008,cell470,0,""
session_2024_04_23_1_MAT008,cell471,2,"stimulusOnsetTime,rewardTime"
session_2024_04_23_1_MAT008,cell472,0,""
session_2024_04_23_1_MAT008,cell473,0,""
session_2024_04_23_1_MAT008,cell474,1,"rewardTime"
session_2024_04_23_1_MAT008,cell475,0,""
session_2024_04_23_1_MAT008,cell476,1,"rewardTime"
session_2024_04_23_1_MAT008,cell477,0,""
session_2024_04_23_1_MAT008,cell478,0,""
session_2024_04_23_1_MAT008,cell479,1,"stimulusOnsetTime"
session_2024_04_23_1_MAT008,cell480,1,"stimulusOnsetTime"
session_2024_04_23_1_MAT008,cell481,1,"rewardTime"
session_2024_04_23_1_MAT008,cell482,0,""
session_2024_04_23_1_MAT008,cell483,1,"rewardTime"
session_2024_04_23_1_MAT008,cell484,0,""
session_2024_04_23_1_MAT008,cell485,0,""
session_2024_04_23_1_MAT008,cell486,0,""
session_2024_04_23_1_MAT008,cell487,2,"stimulusOnsetTime,rewardTime"
session_2024_04_23_1_MAT008,cell488,2,"stimulusOnsetTime,rewardTime"
session_2024_04_23_1_MAT008,cell489,0,""
session_2024_04_23_1_MAT008,cell490,0,""
session_2024_04_23_1_MAT008,cell491,0,""
session_2024_04_23_1_MAT008,cell492,1,"rewardTime"
