,trialNumber,stimulusType,stimulusOnsetTime,rewardTime,rewardVolume,lickTimePostStim,lickTimePostReward,trialOffsets,rewardProb
104,105.0,Gabor45,1362.3897678460496,,0.0,,,34.11028529428738,0% Rewarded
105,106.0,Gabor45,1374.2795712477068,,0.0,,,34.11028529428738,0% Rewarded
106,107.0,Gabor0,1385.816535581182,1387.9522002716838,3.0,1387.067,1388.0265,34.11028529428738,50% Rewarded
107,108.0,Gabor90,1399.8213640800286,1401.9602002519753,3.0,1401.3475,1401.9975,34.11028529428738,100% Rewarded
108,109.0,Gabor0,1413.7565872836817,1415.8987002519752,3.0,1415.301,1415.9950000000001,34.11028529428738,50% Rewarded
109,110.0,Gabor90,1424.9266167928408,1427.0652001993185,3.0,1426.3415,1427.104,34.11028529428738,100% Rewarded
110,111.0,Gabor0,1440.432635305539,,0.0,1442.1295,1442.5745,34.11028529428738,50% Rewarded
111,112.0,Gabor90,1456.7331549524247,1458.8747003571361,3.0,1458.0625,1458.881,34.11028529428738,100% Rewarded
112,113.0,Gabor90,1468.5941721622069,1470.7172002716839,3.0,1470.453,1470.7825,34.11028529428738,100% Rewarded
113,114.0,Gabor0,1482.7903186403767,,0.0,1484.19,1485.0140000000001,34.11028529428738,50% Rewarded
114,115.0,Gabor45,1495.4574907619935,,0.0,,,34.11028529428738,0% Rewarded
115,116.0,Gabor0,1506.5062930121155,,0.0,1507.6705,1508.723,34.11028529428738,50% Rewarded
116,117.0,Gabor90,1517.7816620449753,1519.9167002716838,3.0,1519.2045,1519.986,34.11028529428738,100% Rewarded
117,118.0,Gabor90,1531.5122156025845,1533.6447002913899,3.0,1532.7685000000001,1533.6955,34.11028529428738,100% Rewarded
118,119.0,Gabor45,1543.300057709686,,0.0,,,34.11028529428738,0% Rewarded
119,120.0,Gabor0,1561.980534199715,,0.0,1563.0905,1564.1200000000001,34.11028529428738,50% Rewarded
120,121.0,Gabor45,1573.3495466314048,,0.0,,,34.11028529428738,0% Rewarded
121,122.0,Gabor0,1586.1422777852815,1588.2862002848526,3.0,1588.1195,1588.3995,34.11028529428738,50% Rewarded
122,123.0,Gabor0,1600.1952450660265,,0.0,1601.1395,1602.424,34.11028529428738,50% Rewarded
123,124.0,Gabor0,1613.0112957926192,,0.0,1613.9825,1615.1415,34.11028529428738,50% Rewarded
124,125.0,Gabor90,1627.0410802688093,1629.187700265144,3.0,1628.4460000000001,1629.211,34.11028529428738,100% Rewarded
125,126.0,Gabor0,1638.8461879286347,,0.0,1640.145,1641.04,34.11028529428738,50% Rewarded
126,127.0,Gabor90,1651.5057803841737,1653.6377002848526,3.0,1652.7725,1653.651,34.11028529428738,100% Rewarded
127,128.0,Gabor90,1663.1365806580993,1665.272700304559,3.0,1664.289,1665.2845,34.11028529428738,100% Rewarded
128,129.0,Gabor45,1674.5128828291513,,0.0,,,34.11028529428738,0% Rewarded
